datetime,energy_mwh
2023-03-26 19:00:00,0
2023-03-30 18:00:00,1233
2023-04-03 01:00:00,936
2023-04-03 02:00:00,1064
2023-04-10 01:00:00,901
2023-04-10 02:00:00,996
2023-05-05 00:00:00,1137
2023-05-05 01:00:00,1353
2023-05-05 02:00:00,1641
2023-05-09 00:00:00,1004
2023-05-09 01:00:00,1150
2023-06-04 22:00:00,1053
2023-06-04 23:00:00,1374
2023-06-05 00:00:00,1605
2023-08-08 04:00:00,1497
2023-08-08 05:00:00,1769
2023-08-12 00:00:00,2326
2023-08-23 15:00:00,1574
2023-09-06 15:00:00,1452
2023-09-09 14:00:00,2696
2023-09-09 15:00:00,2591
2023-09-19 13:00:00,1389
2023-09-19 14:00:00,971
2023-10-08 23:00:00,1530
2023-11-24 03:00:00,1099
2023-11-24 04:00:00,1315
2023-11-24 05:00:00,1537
2023-12-19 16:00:00,711
2024-01-20 22:00:00,2544
2024-01-25 18:00:00,1960
2024-02-16 17:00:00,1913
2024-03-01 16:00:00,1043
2024-03-01 17:00:00,803
2024-03-01 18:00:00,421
2024-03-05 18:00:00,1315
2024-03-12 17:00:00,1817
2024-03-25 18:00:00,1552
2024-03-31 23:00:00,0
2024-04-16 13:00:00,2180
2024-04-23 12:00:00,1859
2024-04-23 13:00:00,2388
2024-04-23 14:00:00,2566
2024-05-01 11:00:00,1154
2024-05-11 11:00:00,2172
2024-05-11 12:00:00,1712
2024-05-11 13:00:00,1364
2024-09-29 17:00:00,2483
2024-10-14 10:00:00,1995
2024-10-27 18:00:00,532
2024-11-16 02:00:00,1488
2024-11-21 18:00:00,1836
2024-11-24 16:00:00,1400
2024-11-24 17:00:00,1086
2024-12-26 09:00:00,3268
2024-12-27 10:00:00,3911
2024-12-27 11:00:00,4281
2025-01-30 17:00:00,893
2025-02-04 09:00:00,2555
2025-02-04 10:00:00,2912
2025-02-08 09:00:00,3880
2025-02-08 10:00:00,4216
2025-02-25 11:00:00,1627
2025-03-04 09:00:00,4340
2025-03-11 09:00:00,3068
2025-03-12 09:00:00,3612
2025-03-12 10:00:00,3932
2025-03-16 12:00:00,1573
2025-03-17 09:00:00,3111
2025-04-19 19:00:00,425
2025-05-01 10:00:00,2049
2025-05-01 12:00:00,1688
2025-05-12 10:00:00,2020
2025-08-01 09:00:00,3393
2025-08-01 10:00:00,3730
2025-08-17 19:00:00,581
2025-10-12 18:00:00,678
2026-01-06 11:00:00,4137
2026-01-10 16:00:00,0
2026-01-10 17:00:00,0
